MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0004637, http://www.ebi.ac.uk/efo/EFO_0004503	protein S measurement, hematological measurement	rs4234853	Genome wide association study for plasma levels of natural anticoagulant inhibitors and protein C anticoagulant pathway: the MARTHA project.	www.ncbi.nlm.nih.gov/pubmed/22443383
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs144060362	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0000707, http://www.ebi.ac.uk/efo/EFO_0007932, http://www.ebi.ac.uk/efo/EFO_0004193	squamous cell carcinoma, mulitple keratinocyte carcinoma susceptibility measurement, basal cell carcinoma	chr15:89432448	Genome-Wide Association Studies of Multiple Keratinocyte Cancers.	www.ncbi.nlm.nih.gov/pubmed/28081215
http://www.ebi.ac.uk/efo/EFO_0004641	white matter integrity	rs1880529	White matter integrity as an intermediate phenotype: exploratory genome-wide association analysis in individuals at high risk of bipolar disorder.	www.ncbi.nlm.nih.gov/pubmed/23218918
http://www.ebi.ac.uk/efo/EFO_0004274	gout	rs12236871	Genome-wide association analysis identifies three new risk loci for gout arthritis in Han Chinese.	www.ncbi.nlm.nih.gov/pubmed/25967671
http://www.ebi.ac.uk/efo/EFO_0000407	dilated cardiomyopathy	rs10927875	A genome-wide association study identifies two loci associated with heart failure due to dilated cardiomyopathy.	www.ncbi.nlm.nih.gov/pubmed/21459883
http://www.ebi.ac.uk/efo/EFO_0005416	serum ST2 measurement	rs2302612	Common genetic variation at the IL1RL1 locus regulates IL-33/ST2 signaling.	www.ncbi.nlm.nih.gov/pubmed/23999434
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs718444	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	www.ncbi.nlm.nih.gov/pubmed/23563607
http://www.ebi.ac.uk/efo/EFO_0008377	mosquito bite reaction itch intensity measurement	rs35488337	GWAS of self-reported mosquito bite size, itch intensity and attractiveness to mosquitoes implicates immune-related predisposition loci.	www.ncbi.nlm.nih.gov/pubmed/28199695
http://www.ebi.ac.uk/efo/EFO_0004530	triglyceride measurement	Chr1:230305312	Meta-analysis of 49 549 individuals imputed with the 1000 Genomes Project reveals an exonic damaging variant in ANGPTL4 determining fasting TG levels.	www.ncbi.nlm.nih.gov/pubmed/27036123
http://purl.obolibrary.org/obo/CHEBI_47775	HDL cholesterol	chr9:15304782	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.ebi.ac.uk/efo/EFO_0004314, http://purl.obolibrary.org/obo/GO_0097366	forced expiratory volume, response to bronchodilator	rs4865309	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004576, http://www.orpha.net/ORDO/Orphanet_232	fetal hemoglobin measurement, Sickle cell anemia	rs1845344	Genome-wide association study identifies genetic variants influencing F-cell levels in sickle-cell patients.	www.ncbi.nlm.nih.gov/pubmed/21326311
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs33436	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	www.ncbi.nlm.nih.gov/pubmed/23251661
http://www.ebi.ac.uk/efo/EFO_0000729	ulcerative colitis	rs1182188	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	www.ncbi.nlm.nih.gov/pubmed/26192919
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs1940938	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004645	response to vaccine	rs2860975	Genome-wide association study of antibody response to smallpox vaccine.	www.ncbi.nlm.nih.gov/pubmed/22542470
http://www.ebi.ac.uk/efo/EFO_0004529	lipid measurement	rs1532624	Forty-three loci associated with plasma lipoprotein size, concentration, and cholesterol content in genome-wide analysis.	www.ncbi.nlm.nih.gov/pubmed/19936222
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs13166103	PROX1 gene CC genotype as a major determinant of early onset of type 2 diabetes in slavic study participants from Action in Diabetes and Vascular Disease: Preterax and Diamicron MR Controlled Evaluation study.	www.ncbi.nlm.nih.gov/pubmed/28060188
http://purl.obolibrary.org/obo/GO_1901555, http://purl.obolibrary.org/obo/GO_0097327	response to paclitaxel, response to antineoplastic agent	rs4666360	Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.	www.ncbi.nlm.nih.gov/pubmed/23648065
http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	waist-hip ratio, body mass index	rs8042543	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs4787294	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0005325, http://purl.obolibrary.org/obo/HP_0012735	response to angiotensin-converting enzyme inhibitor, Cough	rs1495509	A genome-wide association study identifies variants in KCNIP4 associated with ACE inhibitor-induced cough.	www.ncbi.nlm.nih.gov/pubmed/26169577
http://www.ebi.ac.uk/efo/EFO_0004509	hemoglobin measurement	chr22:37462936	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000275	atrial fibrillation	rs72700118	Large-scale analyses of common and rare variants identify 12 new loci associated with atrial fibrillation.	www.ncbi.nlm.nih.gov/pubmed/28416818
http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimers disease	rs190982	Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease.	www.ncbi.nlm.nih.gov/pubmed/24162737
http://www.ebi.ac.uk/efo/EFO_0008400	susceptibility to chickenpox measurement	rs76843715	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0004732, http://www.ebi.ac.uk/efo/EFO_0005664	lipoprotein measurement, blood metabolite measurement	chr2.2114888	Genome-wide study for circulating metabolites identifies 62 loci and reveals novel systemic effects of LPA.	www.ncbi.nlm.nih.gov/pubmed/27005778
http://www.ebi.ac.uk/efo/EFO_0000178	gastric carcinoma	chr2:85874332	Loss-of-function variants in ATM confer risk of gastric cancer.	www.ncbi.nlm.nih.gov/pubmed/26098866
http://www.ebi.ac.uk/efo/EFO_0005664	blood metabolite measurement	rs2740	An atlas of genetic influences on human blood metabolites.	www.ncbi.nlm.nih.gov/pubmed/24816252
http://www.ebi.ac.uk/efo/EFO_0004831	RR interval	rs2717128	A genome-wide association scan of RR and QT interval duration in 3 European genetically isolated populations: the EUROSPAN project.	www.ncbi.nlm.nih.gov/pubmed/20031603
http://www.ebi.ac.uk/efo/EFO_0008411	susceptibility to bacterial meningitis measurement	rs10253399	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs2650492	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0006800, http://www.ebi.ac.uk/efo/EFO_0006791	vascular brain injury measurement, vascular brain injury	chr7:134674232	Genome-wide association meta-analysis of neuropathologic features of Alzheimer's disease and related dementias.	www.ncbi.nlm.nih.gov/pubmed/25188341
http://www.ebi.ac.uk/efo/EFO_0000178	gastric carcinoma	rs760077; rs4072037	Loss-of-function variants in ATM confer risk of gastric cancer.	www.ncbi.nlm.nih.gov/pubmed/26098866
http://www.ebi.ac.uk/efo/EFO_0007788	BMI-adjusted waist-hip ratio	rs2820443	Genome-wide association studies in East Asians identify new loci for waist-hip ratio and waist circumference.	www.ncbi.nlm.nih.gov/pubmed/26785701
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs3094013	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0001071	lung carcinoma	rs116718336	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	www.ncbi.nlm.nih.gov/pubmed/28604730
http://www.ebi.ac.uk/efo/EFO_0004208	Vitiligo	rs9271597	Genome-wide association studies of autoimmune vitiligo identify 23 new risk loci and highlight key pathways and regulatory variants.	www.ncbi.nlm.nih.gov/pubmed/27723757
http://www.ebi.ac.uk/efo/EFO_0004612	high density lipoprotein cholesterol measurement	rs1800775	Polymorphism in the CETP gene region, HDL cholesterol, and risk of future myocardial infarction: Genomewide analysis among 18 245 initially healthy women from the Women's Genome Health Study.	www.ncbi.nlm.nih.gov/pubmed/20031564
http://www.ebi.ac.uk/efo/EFO_0004570	bilirubin measurement	rs10901296	Genome-wide association of serum bilirubin levels in Korean population.	www.ncbi.nlm.nih.gov/pubmed/20639394
http://purl.obolibrary.org/obo/GO_0097327, http://purl.obolibrary.org/obo/GO_0097329	response to antineoplastic agent, response to antimetabolite	rs9580312	Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.	www.ncbi.nlm.nih.gov/pubmed/23648065
http://www.ebi.ac.uk/efo/EFO_0004745	NT-proBNP measurement	rs61761991	Genome-Wide Association Study Implicates Atrial Natriuretic Peptide Rather Than B-Type Natriuretic Peptide in the Regulation of Blood Pressure in the General Population.	www.ncbi.nlm.nih.gov/pubmed/29237677
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	rs9891119	A genome-wide association study identifies 2 susceptibility Loci for Crohn's disease in a Japanese population.	www.ncbi.nlm.nih.gov/pubmed/23266558
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs443874	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004710	pelvic organ prolapse	rs58823963	Genetic Determinants of Pelvic Organ Prolapse among African American and Hispanic Women in the Women's Health Initiative.	www.ncbi.nlm.nih.gov/pubmed/26545240
http://www.ebi.ac.uk/efo/EFO_0004462, http://www.ebi.ac.uk/efo/EFO_0005530	PR interval, Trypanosoma cruzi seropositivity	rs9450906	Genome wide association study (GWAS) of Chagas cardiomyopathy in Trypanosoma cruzi seropositive subjects.	www.ncbi.nlm.nih.gov/pubmed/24324551
http://www.ebi.ac.uk/efo/EFO_0004833, http://www.ebi.ac.uk/efo/EFO_0004842	neutrophil count, eosinophil count	rs60606273	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000178	gastric carcinoma	rs10074991	Genome-wide association study of gastric adenocarcinoma in Asia: a comparison of associations between cardia and non-cardia tumours.	www.ncbi.nlm.nih.gov/pubmed/26129866
http://www.ebi.ac.uk/efo/EFO_0007991	eosinophil percentage of leukocytes	rs4787951	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0008002, http://www.ebi.ac.uk/efo/EFO_0004340	physical activity measurement, body mass index	rs17522122	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0006336	diastolic blood pressure	rs36022378	Genome-wide association analysis identifies novel blood pressure loci and offers biological insights into cardiovascular risk.	www.ncbi.nlm.nih.gov/pubmed/28135244
http://www.ebi.ac.uk/efo/EFO_0004270	restless legs syndrome	rs113851554	Identification of novel risk loci for restless legs syndrome in genome-wide association studies in individuals of European ancestry: a meta-analysis.	www.ncbi.nlm.nih.gov/pubmed/29029846
http://www.ebi.ac.uk/efo/EFO_0005944, http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0005942	cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension	rs6453204	Genetic variant predicts bevacizumab-induced hypertension in ECOG-5103 and ECOG-2100.	www.ncbi.nlm.nih.gov/pubmed/25117820
http://www.ebi.ac.uk/efo/EFO_0004767	visceral:subcutaneous adipose tissue ratio	rs9899891	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	www.ncbi.nlm.nih.gov/pubmed/22589738
http://www.ebi.ac.uk/efo/EFO_0003884	chronic kidney disease	rs4293393	Association of variants at UMOD with chronic kidney disease and kidney stones-role of age and comorbid diseases.	www.ncbi.nlm.nih.gov/pubmed/20686651
http://www.ebi.ac.uk/efo/EFO_0008217	macrophage colony stimulating factor measurement	rs72660896	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
